"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","2","","junit5.RepeatDemo","","junit5.RepeatDemo","repeatedTestWithRepetitionInfo","repetition 1 of 5",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromStreamFactoryMethod","mom is a palindrome",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.OrderDemo","","junit5.OrderDemo","testcase2","[3] 徐三",""
"passed","Thu Jul 01 15:36:09 CST 2021","Thu Jul 01 15:36:09 CST 2021","1","","junit5.SharedResourcesDemo","","junit5.SharedResourcesDemo","canSetCustomPropertyToBanana","canSetCustomPropertyToBanana()",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.ExecuteConditionDemo","","junit5.ExecuteConditionDemo","onlyOnJava11Max","onlyOnJava11Max()",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromStream","mom",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","1","","junit5.RepeatDemo","","junit5.RepeatDemo","repeatedTestWithRepetitionInfo","repetition 4 of 5",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","addMemberMethodName","[1] cat",""
"broken","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithCsvFileSourceFromFile","testWithCsvFileSourceFromFile(String, double, double)",""
"skipped","Thu Jul 01 15:36:10 CST 2021","Thu Jul 01 15:36:10 CST 2021","0","","junit5.ExecuteConditionDemo","","junit5.ExecuteConditionDemo","disabled","disabled()",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.ExecuteConditionDemo","","junit5.ExecuteConditionDemo","onlyOnJava8To11","onlyOnJava8To11()",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","1","","junit5.SharedResourcesDemo","","junit5.SharedResourcesDemo","canSetCustomPropertyToApple","canSetCustomPropertyToApple()",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[8] Days",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","这是MyFirstTestcase的测试类DisplayName","","junit5.MyFirstTestcase","testcase5","总共3次测试，这是这是重复测试第2次",""
